ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000061024.8	37	51	43	53	62	51	225	63
ENSMUSG00000025911.14	121	136	129	182	133	100	409	145
ENSMUSG00000079671.8	248	210	222	330	471	390	1090	515
ENSMUSG00000081441.3	6	1	1	2	1	0	2	1
ENSMUSG00000067879.3	44	36	55	62	65	71	261	84
ENSMUSG00000099827.1	0	0	0	0	1	1	0	1
ENSMUSG00000025912.16	184	147	170	237	529	368	1059	628
ENSMUSG00000045210.8	1577	1478	1611	1706	2192	1855	7184	2108
ENSMUSG00000097893.8	0	2	0	0	2	3	10	2
ENSMUSG00000025915.14	1187	1173	1183	1161	1257	997	3706	1288
ENSMUSG00000046334.4	4	8	3	2	8	4	14	4
ENSMUSG00000088916.1	2	5	1	7	1	2	3	3
ENSMUSG00000046101.16	45	45	75	51	72	45	162	53
ENSMUSG00000098234.7	222	188	262	223	448	405	1629	486
ENSMUSG00000093178.1	9	15	14	7	16	15	49	14
ENSMUSG00000099032.2	20	16	20	14	16	12	70	12
ENSMUSG00000104025.1	0	0	0	0	1	0	1	0
ENSMUSG00000025916.10	1	1	3	3	2	0	2	3
ENSMUSG00000087199.1	1	1	0	0	0	0	0	0
ENSMUSG00000095780.1	0	1	0	0	0	0	0	0
ENSMUSG00000025917.9	896	854	885	938	1670	1543	6617	1971
ENSMUSG00000056763.16	979	884	916	1032	1241	941	3547	1136
ENSMUSG00000102356.1	11	2	5	3	9	7	20	3
ENSMUSG00000067851.11	3489	3272	3662	3969	4406	3728	15567	4654
ENSMUSG00000088153.1	10	12	12	9	7	8	51	18
ENSMUSG00000102556.1	65	63	57	67	60	65	276	59
ENSMUSG00000042501.12	0	0	0	0	0	0	0	0
ENSMUSG00000103810.1	0	0	0	0	0	0	0	0
ENSMUSG00000083422.1	1	1	2	0	0	2	7	1
ENSMUSG00000094979.1	0	0	0	0	0	0	0	0
ENSMUSG00000081417.1	0	0	0	0	0	0	0	0
ENSMUSG00000103448.1	0	0	0	0	1	0	0	0
ENSMUSG00000100212.1	0	0	0	0	0	0	0	0
ENSMUSG00000100648.1	1	0	2	0	0	1	6	2
ENSMUSG00000088585.1	0	0	1	0	0	0	0	0
ENSMUSG00000048960.13	17602	17904	17751	16487	16492	11335	41413	15415
ENSMUSG00000077318.1	18	6	18	16	19	10	63	15
ENSMUSG00000101827.1	33	33	29	32	30	19	62	13
ENSMUSG00000103494.1	1	0	0	1	1	0	2	3
ENSMUSG00000057715.13	1	1	2	2	2	3	7	4
ENSMUSG00000103825.1	0	0	0	0	0	0	1	3
ENSMUSG00000099845.1	0	0	0	0	0	0	0	0
ENSMUSG00000103561.1	0	0	0	0	1	0	0	1
ENSMUSG00000101610.1	0	0	0	0	0	0	0	0
ENSMUSG00000093864.1	0	0	0	0	1	0	1	0
ENSMUSG00000098555.1	0	0	0	0	0	0	0	0
ENSMUSG00000097628.1	0	0	1	0	0	0	3	0
ENSMUSG00000098163.1	0	0	0	0	0	1	1	0
ENSMUSG00000097171.1	0	0	2	0	0	0	0	0
ENSMUSG00000101314.1	0	0	0	0	0	0	0	0
ENSMUSG00000016918.15	1179	1354	1166	1095	753	658	2483	637
ENSMUSG00000025938.16	127	137	141	247	116	69	235	83
ENSMUSG00000104518.1	1	0	0	0	0	0	0	0
ENSMUSG00000069620.6	0	0	0	0	0	0	0	0
ENSMUSG00000099498.1	0	0	0	0	0	0	0	0
ENSMUSG00000042414.7	1	1	6	2	1	0	12	1
ENSMUSG00000005886.14	2194	2438	2469	2071	2187	2077	8130	2212
ENSMUSG00000103506.1	62	47	51	31	56	41	172	42
ENSMUSG00000103495.1	37	30	28	62	45	37	120	29
ENSMUSG00000099183.1	3	1	3	4	8	2	8	0
ENSMUSG00000102639.1	17	11	9	17	12	10	45	10
ENSMUSG00000104170.1	70	44	51	70	54	44	124	54
ENSMUSG00000087782.1	4	1	5	6	3	3	9	2
ENSMUSG00000103085.1	201	158	203	208	172	113	454	146
ENSMUSG00000102664.1	77	87	94	114	72	56	216	79
ENSMUSG00000101476.1	1	1	2	0	0	1	2	1
ENSMUSG00000101171.1	0	0	0	0	0	0	1	0
ENSMUSG00000025935.10	4098	4035	3990	4323	6552	5631	21803	7291
ENSMUSG00000025937.6	284	249	262	286	298	206	774	301
ENSMUSG00000102982.1	20	18	11	29	15	11	33	17
ENSMUSG00000067813.3	0	0	0	0	0	0	0	0
ENSMUSG00000077368.1	0	0	0	0	0	0	0	0
ENSMUSG00000097711.1	0	1	0	0	1	4	7	0
ENSMUSG00000102166.1	0	0	0	0	0	0	0	0
ENSMUSG00000089358.1	0	0	0	0	1	0	0	0
ENSMUSG00000104209.1	0	1	0	0	0	0	1	0
ENSMUSG00000025932.14	19	17	11	28	26	15	48	31
ENSMUSG00000095853.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.1	0	0	1	0	0	0	3	0
ENSMUSG00000054493.2	2	1	3	6	3	0	7	1
ENSMUSG00000025930.6	2	4	11	15	8	10	46	11
ENSMUSG00000103492.1	2	1	1	4	0	1	1	0
ENSMUSG00000081201.1	0	0	0	0	0	0	0	0
ENSMUSG00000082193.1	1	0	1	4	1	0	4	1
ENSMUSG00000032769.5	1	1	0	2	3	2	38	10
ENSMUSG00000088159.1	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	0	0	0	0	0	0	0	0
ENSMUSG00000092083.4	2	0	11	2	4	4	28	12
ENSMUSG00000102937.1	1	0	0	0	0	0	0	0
ENSMUSG00000104149.1	1	1	0	0	0	0	3	1
ENSMUSG00000088829.1	0	0	0	0	0	0	0	0
ENSMUSG00000077377.1	0	0	0	0	0	0	0	0
ENSMUSG00000101652.1	0	0	0	1	0	1	3	3
ENSMUSG00000100814.1	0	0	0	0	0	0	0	0
ENSMUSG00000025925.14	320	344	337	359	576	381	1539	528
ENSMUSG00000104379.1	16	16	15	12	12	11	67	14
ENSMUSG00000032719.4	7	9	2	8	5	6	16	2
ENSMUSG00000088943.1	0	0	0	0	0	0	2	0
ENSMUSG00000100652.1	6	9	2	2	4	6	31	7
ENSMUSG00000067795.13	0	1	1	0	0	0	1	0
ENSMUSG00000043716.13	2488	2519	2669	2538	3155	2938	12286	3736
ENSMUSG00000025921.7	302	329	353	300	377	353	1509	402
ENSMUSG00000104165.1	2	0	0	1	0	0	0	0
ENSMUSG00000100868.1	2	0	4	10	2	2	3	4
ENSMUSG00000025920.19	162	156	140	204	412	154	948	214
ENSMUSG00000089982.7	1	3	0	11	1	1	7	6
ENSMUSG00000025939.19	740	687	696	783	1175	937	3799	1180
ENSMUSG00000102457.1	24	31	35	14	18	16	54	16
ENSMUSG00000079658.9	598	588	696	636	1064	885	3947	1263
ENSMUSG00000097744.1	23	15	11	17	11	7	23	16
ENSMUSG00000100959.1	0	2	1	0	0	1	2	2
ENSMUSG00000025940.6	464	387	410	409	548	515	1810	629
ENSMUSG00000025779.10	112	122	106	145	120	138	469	159
ENSMUSG00000100093.1	0	0	0	0	0	0	0	0
ENSMUSG00000091020.3	0	0	1	0	0	0	1	1
ENSMUSG00000101640.1	0	0	0	0	0	0	0	0
ENSMUSG00000104133.1	0	0	0	0	0	0	0	0
ENSMUSG00000042686.5	42	56	55	67	30	25	136	25
ENSMUSG00000100110.1	0	0	0	0	0	0	0	0
ENSMUSG00000025777.8	1	0	1	1	0	1	5	1
ENSMUSG00000099899.1	0	1	0	0	0	0	0	0
ENSMUSG00000100272.1	0	0	0	0	1	0	0	0
ENSMUSG00000100398.1	0	0	0	0	0	0	0	0
ENSMUSG00000101589.1	16	12	13	12	10	8	42	16
ENSMUSG00000102048.1	0	0	0	2	2	0	6	3
ENSMUSG00000089534.1	0	0	0	0	0	0	0	0
ENSMUSG00000067780.3	179	138	171	200	435	688	2285	518
ENSMUSG00000100053.1	21	15	15	10	7	7	26	8
ENSMUSG00000085125.7	116	109	112	93	52	22	34	29
ENSMUSG00000025776.13	1153	981	1113	923	443	220	473	342
ENSMUSG00000099895.1	19	11	4	3	7	1	2	2
ENSMUSG00000100554.1	0	3	0	0	0	0	2	0
ENSMUSG00000099473.1	0	0	0	0	0	0	0	0
ENSMUSG00000099591.1	0	1	0	0	0	0	0	0
ENSMUSG00000109887.1	0	0	0	0	0	0	0	0
ENSMUSG00000102001.1	0	0	0	0	0	0	0	0
ENSMUSG00000101717.2	0	0	0	0	0	0	0	0
ENSMUSG00000025774.14	0	0	0	0	0	1	0	1
ENSMUSG00000070977.4	0	0	0	0	0	0	0	0
ENSMUSG00000073735.1	0	0	0	0	0	0	0	0
ENSMUSG00000067773.6	0	0	0	0	0	0	0	0
ENSMUSG00000101685.1	0	0	0	0	1	0	1	0
ENSMUSG00000101306.1	0	0	0	0	0	0	1	0
ENSMUSG00000088800.1	0	0	0	0	0	0	0	0
ENSMUSG00000101644.1	0	0	0	0	0	0	0	0
ENSMUSG00000099433.1	0	0	0	0	0	0	0	0
ENSMUSG00000089787.2	0	0	0	0	0	0	0	0
ENSMUSG00000042596.7	1	0	0	0	0	0	1	0
ENSMUSG00000100720.1	0	0	0	0	0	0	1	0
ENSMUSG00000025927.13	0	3	0	0	2	0	0	1
ENSMUSG00000100538.1	0	0	0	0	0	0	0	0
ENSMUSG00000101117.1	0	0	0	1	0	0	0	0
ENSMUSG00000100204.1	0	1	0	0	0	1	1	0
ENSMUSG00000084668.1	0	0	0	0	0	0	0	0
ENSMUSG00000102597.1	0	0	0	0	0	0	0	0
