ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000085643.1	6	6	13	39	0	3	3	3
ENSMUSG00000081290.1	0	0	0	0	0	0	0	0
ENSMUSG00000085020.1	0	0	1	0	8	2	59	8
ENSMUSG00000082613.1	0	0	0	0	0	0	1	0
ENSMUSG00000077663.1	0	1	0	0	0	0	0	0
ENSMUSG00000070980.4	0	1	0	0	0	0	0	0
ENSMUSG00000096930.1	0	0	0	0	0	0	0	0
ENSMUSG00000070979.5	5	10	10	10	8	6	41	5
ENSMUSG00000028431.11	1048	1048	1105	1108	1163	1044	4244	1256
ENSMUSG00000080370.1	4	2	3	2	2	0	10	2
ENSMUSG00000038827.11	143	158	133	184	252	166	626	274
ENSMUSG00000038816.14	353	280	289	288	201	173	582	171
ENSMUSG00000055296.14	5825	5440	5994	6007	4652	4071	16270	4607
ENSMUSG00000065544.1	5	6	3	3	1	0	2	0
ENSMUSG00000099002.1	0	0	0	0	0	0	0	0
ENSMUSG00000106585.1	0	0	0	0	0	0	0	0
ENSMUSG00000064595.1	8	4	7	9	5	7	15	6
ENSMUSG00000045589.7	5	7	2	6	3	2	4	2
ENSMUSG00000028434.12	39	26	36	41	20	13	51	14
ENSMUSG00000085967.1	1	0	0	2	0	0	2	0
ENSMUSG00000038764.14	265	220	228	301	107	64	347	94
ENSMUSG00000085654.1	0	0	0	0	0	0	0	0
ENSMUSG00000087044.1	0	1	0	0	0	0	0	0
ENSMUSG00000095042.1	0	0	0	0	0	1	2	0
ENSMUSG00000081540.3	0	1	0	0	0	0	2	0
ENSMUSG00000090053.9	25	18	25	35	17	15	55	16
ENSMUSG00000081615.1	0	1	0	2	0	0	0	0
ENSMUSG00000089945.13	0	3	0	1	0	0	1	0
ENSMUSG00000038729.24	74	72	98	92	49	61	329	56
ENSMUSG00000073846.4	12	16	11	23	14	11	39	14
ENSMUSG00000089286.1	4	2	1	1	0	3	1	0
ENSMUSG00000096195.1	8	0	12	3	4	3	14	5
ENSMUSG00000052117.5	36	38	50	34	43	43	236	53
ENSMUSG00000028367.5	1285	1342	1477	1482	3056	2971	11954	3752
ENSMUSG00000038709.15	0	0	1	0	0	0	0	0
ENSMUSG00000028369.15	125	171	117	251	183	172	1296	205
ENSMUSG00000057280.15	3	2	1	3	4	1	2	0
ENSMUSG00000038668.14	86	87	75	119	89	92	624	103
ENSMUSG00000093293.1	0	0	0	0	0	0	0	0
ENSMUSG00000083834.1	6	1	2	5	7	7	13	5
ENSMUSG00000081186.1	0	0	0	0	1	0	0	2
ENSMUSG00000083145.1	0	0	0	1	0	0	0	0
ENSMUSG00000086470.1	0	0	0	1	0	0	0	0
ENSMUSG00000043385.4	2	5	10	5	6	10	24	5
ENSMUSG00000050812.18	3285	3366	3541	3633	4305	3497	14149	4171
ENSMUSG00000092753.1	0	0	0	0	0	0	0	0
ENSMUSG00000038630.8	0	1	1	1	0	0	1	1
ENSMUSG00000028378.6	56	61	70	57	133	125	353	153
ENSMUSG00000070972.13	265	203	241	282	355	337	1217	389
ENSMUSG00000092345.1	0	0	0	0	0	0	0	0
ENSMUSG00000038607.12	2	1	1	3	3	3	11	4
ENSMUSG00000038598.9	5	0	1	1	1	2	6	0
ENSMUSG00000081432.1	0	0	0	0	0	0	0	0
ENSMUSG00000086660.1	0	0	0	0	0	0	1	0
ENSMUSG00000082978.1	0	2	1	0	1	0	1	1
ENSMUSG00000028381.8	1902	1631	2252	2203	4817	4058	16263	4593
ENSMUSG00000086952.1	0	0	1	1	0	3	10	2
ENSMUSG00000038578.15	89	60	91	61	45	39	202	31
ENSMUSG00000083979.1	0	1	0	0	0	0	2	1
ENSMUSG00000028382.15	10862	10388	10848	11023	16876	15086	62326	17420
ENSMUSG00000080831.1	28	18	24	14	32	40	115	29
ENSMUSG00000046145.7	0	0	0	0	0	0	0	0
ENSMUSG00000028383.17	663	603	676	677	634	517	2208	660
ENSMUSG00000045071.14	204	203	225	232	276	266	1014	300
ENSMUSG00000038544.14	562	554	498	698	667	531	1949	684
ENSMUSG00000028385.14	334	325	402	392	300	250	972	275
ENSMUSG00000080772.1	3	2	2	2	2	5	7	1
ENSMUSG00000073843.3	6	1	4	8	3	5	16	2
ENSMUSG00000028386.1	1	2	4	4	3	1	5	2
ENSMUSG00000041333.6	0	0	0	0	0	0	0	0
ENSMUSG00000078689.8	0	2	0	0	0	0	0	0
ENSMUSG00000073842.10	0	0	0	0	0	0	0	0
ENSMUSG00000083239.1	0	0	0	0	0	0	0	0
ENSMUSG00000078688.11	0	0	0	0	0	0	0	0
ENSMUSG00000073840.6	0	0	0	0	0	0	0	0
ENSMUSG00000078687.9	0	0	0	0	0	0	0	0
ENSMUSG00000095455.1	0	0	0	0	0	0	0	0
ENSMUSG00000096654.1	0	0	0	0	0	0	0	0
ENSMUSG00000083293.1	0	0	0	0	0	0	0	0
ENSMUSG00000078686.11	0	0	0	0	0	0	0	0
ENSMUSG00000078685.6	0	0	0	0	0	0	0	0
ENSMUSG00000094202.1	0	0	0	0	0	0	0	0
ENSMUSG00000078683.9	0	0	0	0	0	0	0	0
ENSMUSG00000086253.1	0	0	0	0	0	0	0	0
ENSMUSG00000094222.1	0	0	0	0	0	0	0	0
ENSMUSG00000094235.1	0	0	0	0	0	0	0	0
ENSMUSG00000078680.3	0	0	0	0	0	0	0	0
ENSMUSG00000082868.1	0	0	0	0	0	0	0	0
ENSMUSG00000073834.10	0	0	0	0	0	0	0	0
ENSMUSG00000094743.2	0	0	0	0	0	0	0	0
ENSMUSG00000094793.1	0	0	0	0	0	0	0	0
ENSMUSG00000096891.1	0	0	0	0	0	0	0	0
ENSMUSG00000110439.1	0	0	0	0	0	0	0	0
ENSMUSG00000094948.2	0	0	0	0	0	0	0	0
ENSMUSG00000096652.1	0	0	0	0	0	0	0	0
ENSMUSG00000089873.8	0	0	0	0	0	0	0	0
ENSMUSG00000082173.1	0	0	0	0	0	0	0	0
ENSMUSG00000073830.11	0	0	0	0	0	0	0	0
ENSMUSG00000095978.1	0	0	0	0	0	0	0	0
ENSMUSG00000096674.1	0	0	0	0	0	0	0	0
ENSMUSG00000073835.5	0	0	0	0	0	0	0	0
ENSMUSG00000078675.9	0	0	0	0	0	0	0	0
ENSMUSG00000095532.1	0	0	0	0	0	0	0	0
ENSMUSG00000096688.1	0	0	0	0	0	0	0	0
ENSMUSG00000082065.1	0	0	0	0	0	0	0	0
ENSMUSG00000078674.2	0	0	0	0	1	0	0	0
ENSMUSG00000083304.1	0	0	0	0	0	0	0	0
ENSMUSG00000095307.1	0	0	0	0	0	0	0	0
ENSMUSG00000078673.10	0	0	0	0	0	0	0	0
ENSMUSG00000081207.4	0	0	0	0	0	0	0	0
ENSMUSG00000090090.1	0	0	0	0	0	0	0	0
ENSMUSG00000058523.2	0	0	0	0	0	0	0	0
ENSMUSG00000081755.1	0	0	0	0	0	0	0	1
ENSMUSG00000081053.1	0	0	1	0	0	0	0	0
ENSMUSG00000082363.1	0	0	0	0	0	0	0	0
ENSMUSG00000082644.1	0	0	0	0	0	0	0	0
ENSMUSG00000084309.1	0	0	0	0	0	0	0	0
ENSMUSG00000083524.1	0	0	1	0	0	0	0	0
ENSMUSG00000078672.2	0	0	0	0	0	0	0	0
ENSMUSG00000066154.11	1	1	0	0	2	0	0	0
ENSMUSG00000085404.1	0	0	0	0	0	0	1	0
ENSMUSG00000086530.1	0	0	0	0	0	0	0	0
ENSMUSG00000066153.2	0	0	0	0	0	0	1	0
ENSMUSG00000028389.12	440	422	433	383	367	228	1030	348
ENSMUSG00000066152.11	931	1035	877	861	1435	1288	4896	1362
ENSMUSG00000096713.1	0	0	0	0	0	0	0	0
ENSMUSG00000066151.12	2211	2208	2041	1884	2097	1943	8475	2210
ENSMUSG00000066150.12	185	180	258	247	425	434	1978	518
ENSMUSG00000066149.11	291	355	321	262	334	318	1258	388
ENSMUSG00000066148.3	1062	1052	1072	1009	1424	1179	4363	1446
ENSMUSG00000063851.12	16	7	17	6	18	8	50	16
ENSMUSG00000028391.16	8	10	7	6	7	6	19	6
ENSMUSG00000028392.15	6	9	15	13	11	13	40	11
ENSMUSG00000038422.2	16	18	27	22	40	26	157	37
ENSMUSG00000028393.10	245	294	233	229	213	226	1444	374
ENSMUSG00000028394.9	414	435	388	408	608	543	2360	699
ENSMUSG00000058046.1	12	3	13	7	6	7	25	13
ENSMUSG00000059810.18	7807	8156	7209	5429	5592	4459	15277	5243
ENSMUSG00000085177.1	85	76	66	54	76	46	179	60
ENSMUSG00000085223.1	27	22	28	17	16	20	54	11
ENSMUSG00000086139.1	16	14	11	12	9	15	32	17
ENSMUSG00000077161.1	0	0	0	0	0	0	0	0
ENSMUSG00000087967.1	0	0	0	0	0	0	0	0
ENSMUSG00000082048.1	0	0	0	0	0	0	0	0
ENSMUSG00000083635.1	0	0	0	0	0	0	0	0
ENSMUSG00000028358.15	30	34	44	48	56	65	490	81
ENSMUSG00000028356.4	0	0	0	0	0	0	1	0
ENSMUSG00000028357.13	0	0	0	0	0	0	0	3
ENSMUSG00000045672.15	171	246	237	195	489	782	2775	686
ENSMUSG00000070102.1	0	0	0	0	0	1	0	1
ENSMUSG00000039196.2	1	0	2	0	1	0	0	0
ENSMUSG00000082141.1	1	2	3	1	3	1	6	0
ENSMUSG00000028359.4	4	2	3	0	3	1	7	2
ENSMUSG00000061540.3	8	12	16	10	5	6	45	7
ENSMUSG00000039158.11	880	993	935	641	542	520	2558	587
ENSMUSG00000086953.1	18	17	18	9	14	5	79	13
ENSMUSG00000039137.18	90	95	83	138	25	19	79	19
ENSMUSG00000039105.6	315	309	323	277	462	429	2093	517
ENSMUSG00000045917.17	119	162	124	153	143	98	394	120
ENSMUSG00000083943.1	7	12	6	12	9	9	36	11
ENSMUSG00000065913.1	0	0	1	0	1	0	0	0
ENSMUSG00000084782.2	2	0	2	2	0	1	0	1
ENSMUSG00000058935.14	0	0	0	0	0	0	0	0
ENSMUSG00000077504.1	0	0	0	0	0	0	0	0
ENSMUSG00000086817.1	0	0	0	0	0	0	0	0
ENSMUSG00000099294.1	1	0	1	0	0	2	1	2
ENSMUSG00000050395.9	5	5	7	3	28	19	45	38
ENSMUSG00000028362.2	3	5	4	8	10	8	36	6
ENSMUSG00000084345.3	0	0	0	0	0	0	1	0
ENSMUSG00000028364.15	198	206	257	262	8127	8793	41252	9868
ENSMUSG00000073821.11	4	0	1	3	24	48	161	31
ENSMUSG00000086755.1	1	0	0	0	9	7	26	5
ENSMUSG00000085032.1	0	0	0	0	0	0	0	0
ENSMUSG00000077214.1	0	0	0	0	0	0	0	0
ENSMUSG00000081941.1	0	0	0	0	0	0	1	0
ENSMUSG00000080805.1	0	0	0	0	0	0	0	0
ENSMUSG00000028370.7	63	69	61	55	47	61	173	42
ENSMUSG00000028373.16	58	48	52	59	30	39	160	32
ENSMUSG00000051675.13	419	422	400	334	466	379	1463	440
ENSMUSG00000083080.1	0	0	0	0	0	0	0	0
ENSMUSG00000065151.1	0	0	0	0	0	0	0	0
ENSMUSG00000082053.1	0	0	0	0	0	0	0	0
ENSMUSG00000039005.13	1299	1264	1251	1652	2814	2865	12995	3432
ENSMUSG00000081435.1	0	0	0	0	0	0	0	0
ENSMUSG00000080815.1	1	1	0	1	1	1	3	0
ENSMUSG00000106523.1	0	0	0	0	0	0	0	0
ENSMUSG00000083087.1	0	0	1	1	0	0	4	1
ENSMUSG00000086364.1	0	0	0	0	0	0	0	0
ENSMUSG00000064762.1	0	0	0	0	0	0	0	0
ENSMUSG00000081231.1	2	1	2	1	2	0	14	5
ENSMUSG00000086790.1	0	0	0	0	0	0	0	0
ENSMUSG00000028351.5	0	2	3	0	1	7	16	2
ENSMUSG00000065815.1	0	0	0	0	0	0	0	0
ENSMUSG00000082553.1	0	0	0	0	0	0	0	1
ENSMUSG00000082998.3	1	1	1	0	1	3	6	3
ENSMUSG00000085627.2	0	1	0	1	0	0	1	0
ENSMUSG00000046341.5	0	1	0	1	3	1	2	2
ENSMUSG00000084342.1	0	0	0	0	0	0	1	0
ENSMUSG00000082368.1	0	0	0	1	0	0	1	1
ENSMUSG00000039298.16	652	617	726	846	1234	1039	3395	1369
ENSMUSG00000080902.1	0	1	1	1	5	3	7	6
ENSMUSG00000088367.1	0	0	1	0	0	0	0	0
ENSMUSG00000039270.9	3723	3306	2922	2979	2518	1850	7589	2310
ENSMUSG00000083549.1	1	0	0	1	0	0	0	0
ENSMUSG00000084937.1	0	0	0	0	0	0	0	0
ENSMUSG00000082017.1	0	0	0	0	0	0	0	0
ENSMUSG00000083914.3	0	0	0	0	0	0	1	0
ENSMUSG00000082432.1	0	0	0	0	0	0	0	1
ENSMUSG00000066141.2	0	0	0	0	0	0	0	0
ENSMUSG00000081117.1	0	0	0	0	0	0	0	0
ENSMUSG00000086696.1	0	0	0	0	0	0	0	0
ENSMUSG00000008305.18	1161	1218	1308	1026	1528	1483	6727	1487
ENSMUSG00000086027.1	1	1	2	3	0	4	6	2
ENSMUSG00000084910.1	42	32	49	30	40	42	172	47
ENSMUSG00000083372.1	0	3	0	0	1	1	4	0
ENSMUSG00000059343.4	0	1	0	1	0	0	0	0
ENSMUSG00000084173.1	0	0	0	1	0	0	1	0
ENSMUSG00000089098.1	0	0	0	0	0	0	0	0
ENSMUSG00000084162.1	0	0	1	0	1	0	1	0
ENSMUSG00000089194.1	0	0	0	0	0	0	0	0
ENSMUSG00000066137.12	1	0	0	0	0	0	0	0
ENSMUSG00000080222.2	0	0	0	0	1	0	0	0
ENSMUSG00000082566.1	0	0	0	0	0	0	0	0
ENSMUSG00000081871.1	0	2	0	3	4	0	10	1
ENSMUSG00000077312.1	0	0	0	0	0	0	0	0
ENSMUSG00000095935.1	0	0	0	0	0	0	0	0
ENSMUSG00000094116.1	0	0	0	0	0	0	0	0
ENSMUSG00000096700.1	0	0	0	0	0	0	0	0
ENSMUSG00000095048.7	0	0	0	0	0	0	0	0
ENSMUSG00000095341.1	0	0	0	0	0	0	0	0
ENSMUSG00000043003.14	21	20	18	15	54	63	342	66
ENSMUSG00000085034.1	0	0	0	0	0	0	1	0
ENSMUSG00000083530.1	0	0	0	0	0	0	0	0
ENSMUSG00000096530.7	0	0	0	0	0	0	0	0
ENSMUSG00000096750.7	0	0	0	0	0	0	0	0
ENSMUSG00000096333.7	0	0	0	0	0	0	0	0
ENSMUSG00000093962.7	0	1	1	0	0	1	3	0
ENSMUSG00000028396.5	46	47	42	49	18	13	52	15
ENSMUSG00000049122.17	8	15	17	8	6	4	14	4
ENSMUSG00000081048.1	0	0	1	0	1	0	3	1
ENSMUSG00000083767.1	2	1	0	1	1	5	3	4
ENSMUSG00000028397.13	1809	1762	1764	1841	2227	1808	7036	2316
ENSMUSG00000085482.1	5	1	4	4	2	3	8	0
ENSMUSG00000099334.1	0	0	0	0	0	0	0	0
ENSMUSG00000104700.1	0	0	0	0	0	0	0	0
ENSMUSG00000081438.1	0	0	0	0	0	0	0	0
ENSMUSG00000083659.1	0	0	0	0	1	0	2	0
ENSMUSG00000082533.1	0	0	0	0	0	0	0	0
ENSMUSG00000084311.1	0	0	0	0	0	0	0	0
ENSMUSG00000081067.1	3	6	7	2	7	3	30	8
ENSMUSG00000028398.8	177	273	234	227	261	229	931	322
ENSMUSG00000065884.1	1	2	0	1	0	0	1	2
ENSMUSG00000083224.1	0	0	2	0	0	0	0	0
ENSMUSG00000084026.1	0	1	0	0	0	0	0	0
ENSMUSG00000084253.1	0	0	0	0	0	0	0	0
ENSMUSG00000081844.1	0	0	1	0	0	0	0	0
ENSMUSG00000028399.18	97	62	92	134	70	42	259	67
ENSMUSG00000080780.1	2	1	2	1	2	2	7	0
ENSMUSG00000110373.1	0	0	0	1	0	0	2	0
ENSMUSG00000083050.1	1	0	0	0	0	0	3	0
ENSMUSG00000081890.1	0	0	0	0	0	0	0	0
ENSMUSG00000081936.1	0	0	0	0	0	0	0	0
ENSMUSG00000084090.1	0	0	0	0	0	0	0	0
ENSMUSG00000081656.1	0	0	1	0	1	0	0	2
ENSMUSG00000092829.1	0	0	0	0	0	0	0	0
ENSMUSG00000092492.1	0	0	0	0	0	0	0	0
ENSMUSG00000082351.1	0	0	0	0	0	0	0	0
ENSMUSG00000085840.1	0	0	0	0	0	0	0	0
ENSMUSG00000089338.1	0	0	0	2	0	0	0	0
ENSMUSG00000083629.1	0	0	0	0	0	0	0	0
ENSMUSG00000089543.1	0	0	0	0	0	0	0	0
ENSMUSG00000083496.1	0	0	1	0	0	3	1	0
ENSMUSG00000084248.1	0	0	0	0	0	0	0	0
ENSMUSG00000082179.1	0	0	1	3	0	0	1	0
ENSMUSG00000083076.1	0	0	0	0	0	1	0	0
ENSMUSG00000083219.1	3	0	0	2	2	0	5	5
ENSMUSG00000082555.1	0	0	0	0	0	0	0	1
ENSMUSG00000005994.14	0	0	0	1	0	0	0	2
ENSMUSG00000048706.3	415	428	420	424	529	367	1100	531
ENSMUSG00000099273.1	0	0	1	0	0	0	1	0
ENSMUSG00000028402.18	3924	3669	3988	3812	4675	3872	14380	4673
ENSMUSG00000077607.1	3	4	5	9	3	3	13	5
ENSMUSG00000081391.1	0	0	0	0	0	0	0	0
ENSMUSG00000083385.1	0	0	0	0	0	0	0	0
ENSMUSG00000087540.1	2	2	2	1	2	0	0	0
ENSMUSG00000084718.1	0	0	0	0	0	0	0	0
ENSMUSG00000087608.1	0	0	0	0	0	0	0	0
ENSMUSG00000087110.1	2	0	1	12	1	1	8	2
ENSMUSG00000092661.1	0	0	0	0	0	0	0	0
ENSMUSG00000085022.2	15	7	7	21	8	3	11	6
ENSMUSG00000008575.17	13124	13079	12945	13277	16534	14917	58899	17159
ENSMUSG00000084595.1	8	6	6	5	14	9	37	8
ENSMUSG00000087413.1	20	11	23	27	15	11	35	9
ENSMUSG00000084851.1	0	0	0	1	0	0	1	0
ENSMUSG00000084357.1	0	0	0	0	0	0	0	0
ENSMUSG00000086293.1	0	0	0	0	0	0	0	0
ENSMUSG00000028403.15	685	688	695	782	1602	1584	5643	1811
ENSMUSG00000038192.5	0	0	0	0	0	0	1	0
ENSMUSG00000059049.14	52	42	34	16	189	246	1810	259
ENSMUSG00000089409.1	0	0	0	0	0	0	0	0
ENSMUSG00000082637.2	0	0	0	0	0	0	0	0
ENSMUSG00000083245.1	1	3	1	0	0	5	14	3
ENSMUSG00000038172.14	1177	1138	1246	1268	1775	1995	8163	2054
ENSMUSG00000096801.1	0	1	0	0	0	2	5	0
ENSMUSG00000086321.1	0	0	0	0	0	0	0	0
ENSMUSG00000087592.1	0	0	0	0	0	0	0	0
ENSMUSG00000028483.13	1085	980	897	1047	1204	990	3367	1152
ENSMUSG00000028484.16	1132	983	1038	1138	1595	1227	3951	1701
ENSMUSG00000082416.1	1	0	0	1	1	1	3	1
ENSMUSG00000066116.3	0	0	0	0	0	0	0	0
ENSMUSG00000052407.17	60	57	66	86	36	21	105	24
ENSMUSG00000064606.1	0	0	0	1	0	0	3	0
ENSMUSG00000098217.1	0	0	0	0	0	0	0	0
ENSMUSG00000080793.1	2	0	0	0	0	1	0	0
ENSMUSG00000097942.1	1	0	0	0	0	0	0	0
ENSMUSG00000085378.1	0	1	0	0	0	0	0	0
ENSMUSG00000085217.1	0	0	0	0	0	0	2	0
ENSMUSG00000083044.1	0	0	0	1	0	2	2	0
ENSMUSG00000087378.1	0	0	0	0	0	1	0	0
ENSMUSG00000028487.18	19	20	24	40	34	15	107	27
ENSMUSG00000083743.1	0	0	0	0	0	1	1	0
ENSMUSG00000081775.1	1	2	1	0	1	1	10	3
ENSMUSG00000086413.1	0	0	0	0	0	0	0	0
ENSMUSG00000038070.15	1197	1155	1350	1356	1444	1130	4360	1614
ENSMUSG00000083139.1	2	2	2	1	5	2	6	2
ENSMUSG00000080303.2	6	1	1	0	0	3	4	1
ENSMUSG00000084267.1	0	0	0	0	0	0	0	0
ENSMUSG00000028488.15	9	6	6	10	5	0	3	1
ENSMUSG00000081862.1	1	1	0	0	0	0	0	0
ENSMUSG00000066113.16	616	592	557	387	195	114	339	148
ENSMUSG00000088122.2	0	0	0	1	0	0	0	0
ENSMUSG00000064687.1	0	1	0	0	0	0	0	0
ENSMUSG00000083272.1	0	0	0	0	0	0	4	0
ENSMUSG00000028492.13	9	10	2	3	3	9	24	15
ENSMUSG00000077597.1	0	0	2	0	0	0	1	0
ENSMUSG00000085108.1	0	0	0	0	0	0	2	2
ENSMUSG00000070934.6	621	558	568	586	896	802	3347	920
ENSMUSG00000038047.18	483	489	537	581	964	823	2891	1033
ENSMUSG00000088958.1	5	3	2	1	1	6	7	5
ENSMUSG00000081169.1	2	2	1	0	1	1	19	4
ENSMUSG00000028494.12	2237	1931	2515	1920	2855	4084	21102	3510
ENSMUSG00000038024.17	1762	1712	1707	1732	2143	1953	7932	2211
ENSMUSG00000082969.1	11	17	14	7	10	18	42	7
ENSMUSG00000028495.14	65	85	57	49	51	41	156	41
ENSMUSG00000038007.14	5553	6457	4719	3897	5417	6867	33304	5956
ENSMUSG00000037996.17	52	65	47	58	58	42	200	57
ENSMUSG00000086512.1	0	0	0	0	0	0	0	1
ENSMUSG00000093065.1	0	0	0	0	0	0	0	0
ENSMUSG00000082443.1	0	0	0	0	0	0	1	0
ENSMUSG00000028496.17	430	423	463	551	461	326	1123	424
ENSMUSG00000084809.1	1	0	0	3	0	0	0	1
ENSMUSG00000081530.1	0	0	0	0	0	0	0	0
ENSMUSG00000038368.16	355	359	379	418	442	308	1236	460
ENSMUSG00000070077.2	2	1	1	4	0	0	6	1
ENSMUSG00000082597.1	2	1	0	4	0	0	0	0
ENSMUSG00000028497.12	1121	1236	1147	1303	910	562	2247	795
ENSMUSG00000048806.4	29	22	28	31	37	26	183	12
ENSMUSG00000096011.1	0	0	0	0	0	0	0	0
ENSMUSG00000095896.1	0	0	0	0	0	0	0	0
ENSMUSG00000080964.1	0	0	0	0	0	0	0	1
ENSMUSG00000095270.1	0	0	0	0	0	0	0	0
ENSMUSG00000078480.3	2	2	1	2	3	4	13	7
ENSMUSG00000073811.4	0	0	0	0	0	0	0	0
ENSMUSG00000083958.1	0	0	0	0	0	0	0	0
ENSMUSG00000038330.10	0	0	0	0	0	0	0	0
ENSMUSG00000063376.6	0	0	0	0	0	0	5	4
ENSMUSG00000081784.1	0	0	0	0	0	0	1	0
ENSMUSG00000078355.1	0	0	0	0	0	0	0	0
ENSMUSG00000078354.1	1	0	0	1	0	0	1	0
ENSMUSG00000100079.1	0	4	0	0	1	2	2	0
ENSMUSG00000081893.1	0	0	0	0	0	0	0	1
ENSMUSG00000084192.1	0	1	0	3	3	3	10	2
ENSMUSG00000070923.4	3691	3735	3594	3911	5316	4230	16562	5414
ENSMUSG00000097078.1	0	0	2	1	3	0	4	3
ENSMUSG00000086074.2	4	13	6	11	6	9	40	8
ENSMUSG00000117268.1	0	0	0	0	0	0	0	0
ENSMUSG00000094618.1	0	0	0	0	0	0	0	0
ENSMUSG00000081501.5	0	2	1	0	0	0	1	0
ENSMUSG00000073809.1	0	0	0	0	0	0	1	0
ENSMUSG00000100505.1	2	1	1	1	1	3	1	1
ENSMUSG00000094498.1	0	0	0	0	0	0	0	0
ENSMUSG00000082789.3	1	0	0	0	0	0	1	0
ENSMUSG00000073807.1	0	0	0	0	0	0	0	0
ENSMUSG00000094271.1	0	0	0	0	0	0	0	0
ENSMUSG00000094167.1	0	0	0	0	0	0	0	0
ENSMUSG00000096582.1	0	0	0	0	0	0	0	0
ENSMUSG00000096591.1	0	0	0	0	0	0	1	0
ENSMUSG00000096854.1	0	1	1	0	0	0	2	0
ENSMUSG00000099545.1	0	0	0	0	0	0	0	0
ENSMUSG00000100234.1	0	0	0	0	1	0	0	0
ENSMUSG00000101163.1	0	0	0	0	0	0	0	0
ENSMUSG00000099518.1	0	0	0	0	0	0	0	0
ENSMUSG00000099420.1	0	0	0	0	0	0	0	0
ENSMUSG00000095101.2	0	0	0	0	0	0	1	0
ENSMUSG00000094648.1	0	0	0	0	0	1	3	0
ENSMUSG00000070908.1	0	5	3	0	4	1	13	6
ENSMUSG00000100713.1	0	0	0	0	0	0	0	0
ENSMUSG00000100549.1	0	0	0	0	0	0	1	0
ENSMUSG00000101252.1	0	0	0	0	0	0	0	0
ENSMUSG00000096682.1	0	0	0	0	0	0	0	0
ENSMUSG00000070904.4	0	0	0	0	0	1	5	0
ENSMUSG00000095498.1	0	0	0	0	0	0	0	0
ENSMUSG00000054351.2	11	7	4	3	4	9	13	5
ENSMUSG00000045364.2	0	0	0	0	0	0	1	0
ENSMUSG00000117123.1	0	1	0	2	3	1	1	1
ENSMUSG00000065408.1	0	0	0	0	0	0	0	0
ENSMUSG00000117251.1	3	4	2	4	3	0	5	1
ENSMUSG00000085183.1	1	0	0	0	1	0	4	0
ENSMUSG00000085569.1	0	1	0	0	2	0	5	1
ENSMUSG00000062937.7	658	615	628	699	917	653	2380	1032
ENSMUSG00000083989.2	7	1	3	4	5	7	25	4
ENSMUSG00000088504.1	1	0	1	1	0	1	4	0
ENSMUSG00000107513.1	0	0	0	0	1	0	0	1
ENSMUSG00000087659.7	1	0	0	0	0	0	0	1
ENSMUSG00000044303.6	2	1	1	3	1	7	14	8
ENSMUSG00000073802.5	17	26	19	24	40	40	187	50
ENSMUSG00000085147.1	2	2	1	1	7	7	26	3
ENSMUSG00000086035.1	5	1	4	3	6	3	21	7
ENSMUSG00000080808.1	0	1	1	1	1	2	8	3
ENSMUSG00000098669.1	1	0	0	0	1	0	0	0
ENSMUSG00000043753.2	0	0	0	0	0	0	0	1
ENSMUSG00000085690.1	0	0	0	0	0	0	0	0
ENSMUSG00000070902.5	0	1	0	0	0	1	1	0
ENSMUSG00000080756.1	0	0	0	0	0	0	0	0
ENSMUSG00000082569.1	1	0	0	1	0	1	2	1
ENSMUSG00000081563.1	0	0	0	1	0	0	0	0
ENSMUSG00000082502.1	0	0	0	0	0	0	0	0
ENSMUSG00000082622.1	0	1	0	0	0	0	1	1
ENSMUSG00000096896.1	0	0	0	0	0	0	0	0
ENSMUSG00000079962.2	0	0	0	0	1	0	0	0
ENSMUSG00000081876.1	0	0	0	0	0	0	0	0
ENSMUSG00000008489.18	2	1	1	0	2	3	7	7
ENSMUSG00000083377.1	0	0	1	0	0	0	0	2
ENSMUSG00000098563.1	0	0	0	0	0	0	0	0
ENSMUSG00000085817.1	0	0	1	0	0	0	0	0
ENSMUSG00000086042.1	0	0	0	0	0	0	0	0
ENSMUSG00000082523.1	0	0	0	0	0	1	0	0
ENSMUSG00000100863.1	5	6	5	5	5	0	24	10
ENSMUSG00000095937.1	0	0	0	0	0	0	0	0
ENSMUSG00000087517.1	0	0	0	0	0	0	0	0
ENSMUSG00000028533.10	0	0	0	0	1	0	0	0
ENSMUSG00000066107.6	0	0	0	0	0	0	0	0
ENSMUSG00000083296.1	0	0	0	0	0	0	0	0
ENSMUSG00000085209.1	0	0	0	0	0	0	0	0
ENSMUSG00000088914.1	0	0	0	0	0	0	0	0
ENSMUSG00000081987.1	0	0	0	0	0	0	0	0
ENSMUSG00000082919.1	1	1	0	1	0	0	1	0
ENSMUSG00000082325.1	1	0	0	0	0	0	0	1
ENSMUSG00000054000.5	47	55	47	53	65	68	358	85
ENSMUSG00000084833.1	1	0	0	0	0	0	0	0
ENSMUSG00000064850.1	0	0	0	0	0	0	0	0
ENSMUSG00000083607.1	0	0	0	0	0	0	0	0
ENSMUSG00000095898.1	0	0	0	0	0	0	0	0
ENSMUSG00000095856.1	0	0	0	0	0	0	0	0
ENSMUSG00000073797.5	0	0	0	0	0	0	0	0
