ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000046541.9	733	775	815	648	545	612	560	650
ENSMUSG00000046546.3	2092	2345	2210	1849	3160	2363	3695	3909
ENSMUSG00000046550.8	7	0	5	10	11	0	9	13
ENSMUSG00000046556.7	4297	4045	4153	3575	2158	2640	2474	3061
ENSMUSG00000046561.9	82	97	90	98	151	94	147	114
ENSMUSG00000046562.5	2313	2436	2581	2146	1271	1741	1619	1978
ENSMUSG00000046567.10	73	106	88	90	47	42	76	58
ENSMUSG00000046572.10	459	464	482	380	441	511	572	668
ENSMUSG00000046573.7	181	158	185	144	190	201	181	215
ENSMUSG00000046574.8	3410	3134	3371	2659	1658	1967	2037	2561
ENSMUSG00000046580.10	8	21	12	11	17	14	15	27
ENSMUSG00000046585.9	29	14	32	23	26	13	9	26
ENSMUSG00000046589.7	33	26	60	48	31	42	26	29
ENSMUSG00000046590.3	0	0	0	0	0	0	0	0
ENSMUSG00000046591.10	12	9	6	5	251	481	406	523
ENSMUSG00000046593.3	4	4	4	0	10	4	17	6
ENSMUSG00000046598.15	4	3	8	0	4	2	10	20
ENSMUSG00000046603.16	267	239	268	191	139	168	199	260
ENSMUSG00000046605.14	184	231	259	197	98	140	164	201
ENSMUSG00000046607.6	0	0	0	4	0	0	0	0
ENSMUSG00000046610.15	3	7	2	0	11	9	25	45
ENSMUSG00000046613.19	39	28	39	22	10	15	16	16
ENSMUSG00000046615.2	0	0	0	0	0	0	0	0
ENSMUSG00000046618.7	3186	3100	3696	2720	1430	1566	1753	2160
ENSMUSG00000046620.4	2	1	3	0	1	7	8	2
ENSMUSG00000046623.8	1	2	3	7	0	0	0	0
ENSMUSG00000046634.12	4	3	8	21	0	5	2	1
ENSMUSG00000046636.5	1	1	1	12	38	21	22	7
ENSMUSG00000046637.3	9	16	21	7	4	18	11	10
ENSMUSG00000046643.2	0	0	0	0	0	0	0	0
ENSMUSG00000046650.4	0	0	0	0	0	0	0	0
ENSMUSG00000046652.3	19	35	30	5	11	28	60	41
ENSMUSG00000046658.16	442	431	400	420	234	207	214	338
ENSMUSG00000046667.14	343	416	365	256	303	319	358	425
ENSMUSG00000046668.9	170	202	140	181	115	152	188	291
ENSMUSG00000046671.18	1495	1498	1522	1379	1236	1204	1403	1800
ENSMUSG00000046675.7	209	232	193	191	294	292	357	327
ENSMUSG00000046676.4	0	0	0	0	0	0	0	0
ENSMUSG00000046678.6	0	0	0	0	0	0	0	0
ENSMUSG00000046679.16	548	574	654	407	271	339	414	498
ENSMUSG00000046683.16	0	4	0	0	0	0	0	1
ENSMUSG00000046687.6	17	16	23	14	4	3	3	8
ENSMUSG00000046688.14	142	125	138	98	199	226	419	381
ENSMUSG00000046691.14	27	35	11	20	16	15	22	23
ENSMUSG00000046694.6	109	105	124	142	161	113	122	147
ENSMUSG00000046697.17	0	1	0	0	0	0	0	0
ENSMUSG00000046699.14	4	7	7	8	4	5	5	4
ENSMUSG00000046707.9	1537	1971	1823	1441	1655	1974	2155	2710
ENSMUSG00000046709.18	2	1	5	3	0	4	0	5
ENSMUSG00000046711.16	245	272	275	237	410	311	378	426
ENSMUSG00000046714.7	66	58	51	63	80	58	87	121
ENSMUSG00000046716.7	0	0	0	0	0	0	0	3
ENSMUSG00000046717.5	0	0	0	0	0	0	0	0
ENSMUSG00000046718.8	1777	1656	1473	1281	1417	2106	1883	2252
ENSMUSG00000046719.7	29	30	44	42	10	27	18	29
ENSMUSG00000046721.11	26	35	35	15	63	45	43	59
ENSMUSG00000046722.14	1889	2064	1812	1644	4580	3963	5086	6429
ENSMUSG00000046723.4	0	0	0	0	0	0	0	0
ENSMUSG00000046727.13	338	473	376	227	139	240	269	291
ENSMUSG00000046731.5	982	1050	1046	870	686	928	1012	1026
ENSMUSG00000046733.7	3562	3956	3833	3252	2113	2574	2284	2763
ENSMUSG00000046743.6	6010	6564	6781	4947	8684	8232	12076	9961
ENSMUSG00000046747.8	3	0	0	0	0	3	0	6
ENSMUSG00000046748.8	0	3	0	0	8	0	3	8
ENSMUSG00000046750.17	1	1	0	0	0	0	0	0
ENSMUSG00000046753.10	331	494	459	317	320	360	461	612
ENSMUSG00000046755.5	0	0	0	0	0	0	0	0
ENSMUSG00000046756.10	558	615	528	403	470	656	703	923
ENSMUSG00000046761.13	140	187	196	189	108	67	122	130
ENSMUSG00000046764.8	0	0	0	0	0	0	0	0
ENSMUSG00000046768.13	5234	6052	5609	4599	4868	5259	6333	6954
ENSMUSG00000046774.17	0	0	1	0	0	0	0	0
ENSMUSG00000046782.14	27	57	42	39	10	18	12	23
ENSMUSG00000046785.8	1610	1717	1688	1395	1627	1660	2127	2493
ENSMUSG00000046790.7	0	0	0	0	0	0	0	0
ENSMUSG00000046791.8	998	1034	1014	819	289	594	481	541
ENSMUSG00000046792.8	492	480	463	475	497	549	684	793
ENSMUSG00000046793.8	8	3	6	16	0	1	9	7
ENSMUSG00000046794.9	149	125	132	128	167	134	240	323
ENSMUSG00000046798.14	561	587	494	397	305	444	476	467
ENSMUSG00000046804.13	2	3	0	0	0	0	3	6
ENSMUSG00000046805.10	197	138	225	121	351	353	506	320
ENSMUSG00000046806.13	173	201	235	182	123	191	158	224
ENSMUSG00000046807.10	37	37	35	34	1	9	13	23
ENSMUSG00000046808.17	1071	1306	1408	1070	1196	1024	1681	1859
ENSMUSG00000046811.3	0	0	4	0	0	0	2	1
ENSMUSG00000046814.3	17	17	36	27	38	18	49	61
ENSMUSG00000046818.7	10	26	9	9	25	22	25	32
ENSMUSG00000046822.14	1113	1179	1214	1035	887	940	1050	1326
ENSMUSG00000046826.7	20	17	29	15	27	26	15	23
ENSMUSG00000046828.3	8	1	1	1	4	4	3	12
ENSMUSG00000046834.7	0	0	3	0	0	0	0	3
ENSMUSG00000046836.13	1888	2087	2030	1590	2172	2136	2448	3096
ENSMUSG00000046840.16	0	0	0	0	0	0	0	0
ENSMUSG00000046841.5	1796	1567	1855	1561	4287	4936	5707	6051
ENSMUSG00000046844.6	7	1	2	8	0	0	0	2
ENSMUSG00000046845.1	0	0	0	0	0	0	0	0
ENSMUSG00000046846.4	0	0	0	0	0	0	0	0
ENSMUSG00000046854.16	5	10	8	2	9	13	13	29
ENSMUSG00000046856.13	9	4	2	6	0	0	5	12
ENSMUSG00000046861.9	1127	1303	1275	1039	1184	971	1133	1670
ENSMUSG00000046862.14	430	504	474	449	512	421	513	658
ENSMUSG00000046865.7	483	466	400	398	525	914	857	928
ENSMUSG00000046873.18	846	924	870	707	1066	780	1015	1206
ENSMUSG00000046876.16	3013	3309	3294	2498	3757	3240	3932	4275
ENSMUSG00000046879.7	1283	1338	1332	1012	2122	2137	2265	3012
ENSMUSG00000046881.7	1	0	6	0	0	1	3	1
ENSMUSG00000046886.6	20	22	38	33	13	9	6	20
ENSMUSG00000046897.17	2240	2478	2550	2084	2139	1874	2472	3229
ENSMUSG00000046899.7	0	0	0	0	0	0	0	0
ENSMUSG00000046908.5	79	90	101	27	75	49	77	97
ENSMUSG00000046909.9	85	74	60	78	91	96	87	111
ENSMUSG00000046913.3	0	0	0	0	0	0	0	0
ENSMUSG00000046916.9	4576	4547	4469	3325	3030	3080	3979	5014
ENSMUSG00000046922.7	0	0	0	0	0	1	2	0
ENSMUSG00000046924.4	0	0	0	0	0	0	0	0
ENSMUSG00000046932.2	0	0	0	0	0	0	0	0
ENSMUSG00000046934.5	1	3	4	11	55	21	14	7
ENSMUSG00000046942.17	0	0	0	0	0	0	0	0
ENSMUSG00000046947.12	359	345	366	299	178	224	239	344
ENSMUSG00000046949.16	505	487	539	415	548	607	631	810
ENSMUSG00000046952.9	4	3	2	0	0	4	0	3
ENSMUSG00000046957.5	0	0	0	0	0	0	0	0
ENSMUSG00000046958.10	2	0	0	0	0	0	1	4
ENSMUSG00000046959.16	134	108	149	100	52	68	73	80
ENSMUSG00000046961.8	2	3	10	0	34	12	11	23
ENSMUSG00000046962.16	1408	1559	1577	1249	1123	1459	1451	1606
ENSMUSG00000046971.7	28	34	18	21	21	13	30	28
ENSMUSG00000046974.6	0	0	0	0	0	0	0	0
ENSMUSG00000046975.7	0	0	0	0	0	0	0	0
ENSMUSG00000046982.11	1908	2162	2330	1770	1142	1547	1329	1954
ENSMUSG00000046985.11	1688	1705	1701	1579	1264	1454	1578	1991
ENSMUSG00000046991.12	11	8	12	2	25	1	12	11
ENSMUSG00000046993.6	5	2	8	11	12	28	13	22
ENSMUSG00000046994.9	465	459	407	379	539	726	819	822
ENSMUSG00000046995.3	0	0	0	0	0	0	0	0
ENSMUSG00000046997.5	9	5	6	0	0	1	6	8
ENSMUSG00000046999.2	20	9	11	11	10	4	16	15
ENSMUSG00000047002.2	0	0	0	0	0	0	0	0
ENSMUSG00000047003.15	688	698	804	533	1305	1164	1333	1756
ENSMUSG00000047013.15	11	16	32	7	26	28	30	38
ENSMUSG00000047014.7	1	1	9	3	0	1	1	8
ENSMUSG00000047021.14	123	183	239	148	83	114	87	115
ENSMUSG00000047022.18	154	220	195	169	102	142	170	173
ENSMUSG00000047025.5	0	0	0	0	0	0	0	0
ENSMUSG00000047026.9	5	0	0	0	2	0	4	2
ENSMUSG00000047030.15	826	896	888	719	821	893	974	1198
ENSMUSG00000047031.5	0	0	0	0	0	0	0	0
ENSMUSG00000047033.2	157	145	153	106	120	164	242	188
ENSMUSG00000047034.10	7	10	0	14	4	3	2	9
ENSMUSG00000047036.8	3361	3747	3734	3107	2889	3087	3458	3831
ENSMUSG00000047037.5	385	452	416	342	226	273	265	341
ENSMUSG00000047039.4	0	0	0	0	0	0	0	0
ENSMUSG00000047040.9	221	265	303	248	156	173	265	307
ENSMUSG00000047044.7	275	337	300	268	240	368	328	426
ENSMUSG00000047045.17	1279	1392	1546	1365	2152	1826	2289	3207
ENSMUSG00000047046.8	0	0	0	0	0	4	0	0
ENSMUSG00000047048.4	1	0	4	0	0	3	2	3
ENSMUSG00000047050.2	0	0	0	0	0	0	0	0
ENSMUSG00000047053.5	3	9	3	0	6	0	1	0
ENSMUSG00000047061.6	0	0	0	0	1	0	0	0
ENSMUSG00000047067.7	72	87	56	43	23	37	52	39
ENSMUSG00000047079.1	0	0	0	0	0	0	0	0
ENSMUSG00000047084.8	389	528	536	417	408	432	419	512
ENSMUSG00000047085.14	8	16	14	12	5	11	11	22
ENSMUSG00000047090.13	258	277	263	185	689	438	654	874
ENSMUSG00000047094.9	0	0	0	0	0	0	0	0
ENSMUSG00000047098.18	1985	2227	2328	1635	1596	1992	2107	2493
ENSMUSG00000047102.4	0	0	0	0	0	0	0	0
ENSMUSG00000047104.5	2	1	0	0	1	11	8	9
ENSMUSG00000047108.4	4	12	9	6	14	15	10	3
ENSMUSG00000047109.13	0	0	0	0	0	0	2	0
ENSMUSG00000047115.15	51	50	72	38	47	98	89	126
ENSMUSG00000047117.13	6	8	6	6	6	11	9	7
ENSMUSG00000047123.8	516	545	546	424	617	644	801	991
ENSMUSG00000047126.17	21266	21487	22910	18120	28094	28368	32214	35904
ENSMUSG00000047129.11	2	0	0	0	0	0	0	3
ENSMUSG00000047139.9	5337	5742	5322	4664	2573	3582	3097	3604
ENSMUSG00000047141.5	991	1095	1073	721	788	853	943	1318
ENSMUSG00000047143.3	8	22	7	12	14	22	24	36
ENSMUSG00000047146.17	619	584	703	425	316	238	349	470
ENSMUSG00000047149.5	0	0	0	0	0	0	0	0
ENSMUSG00000047150.8	6	12	9	11	6	0	11	6
ENSMUSG00000047153.4	1819	2071	2320	1851	2091	1586	2254	2820
ENSMUSG00000047155.13	0	2	0	0	0	1	0	1
ENSMUSG00000047161.12	3	4	0	2	0	3	3	2
ENSMUSG00000047168.6	6	6	0	4	7	0	0	0
ENSMUSG00000047171.8	0	0	0	0	0	0	0	0
ENSMUSG00000047180.8	2085	2113	2245	1485	6470	5661	7553	8936
ENSMUSG00000047181.12	134	151	138	99	265	201	305	378
ENSMUSG00000047182.6	7	19	20	3	10	3	8	12
ENSMUSG00000047187.9	3368	3769	3944	3279	3769	3821	4363	5321
ENSMUSG00000047189.3	0	0	0	0	0	0	0	0
ENSMUSG00000047193.16	664	742	773	581	640	668	661	790
ENSMUSG00000047197.1	0	5	3	1	0	0	6	4
ENSMUSG00000047203.3	0	0	0	0	0	0	0	0
ENSMUSG00000047205.12	222	229	287	184	281	289	427	429
ENSMUSG00000047207.3	0	0	0	0	0	0	0	0
ENSMUSG00000047213.14	2789	3179	3430	2395	3246	3216	4277	4589
ENSMUSG00000047215.14	4497	5116	4327	4346	7271	7877	9885	11901
ENSMUSG00000047216.8	10	33	39	30	4	35	41	69
ENSMUSG00000047220.5	2	5	0	3	11	9	13	9
ENSMUSG00000047221.5	115	141	168	129	109	186	161	185
ENSMUSG00000047222.7	0	0	0	0	4	4	3	2
ENSMUSG00000047225.8	0	0	0	0	0	0	0	0
ENSMUSG00000047227.5	42	59	42	29	44	18	25	22
ENSMUSG00000047228.9	17	5	14	3	25	7	4	11
ENSMUSG00000047230.6	5	11	5	3	39	11	30	18
ENSMUSG00000047237.13	0	0	0	0	0	0	0	0
ENSMUSG00000047238.4	464	472	478	435	419	472	525	564
ENSMUSG00000047242.14	708	698	800	548	920	732	875	986
ENSMUSG00000047246.7	485	523	481	597	752	970	867	1120
ENSMUSG00000047248.20	1408	1525	1909	1161	1287	1439	1685	2128
ENSMUSG00000047250.13	2734	2247	2964	2619	774	1472	1026	1758
ENSMUSG00000047253.4	0	0	0	0	0	0	0	0
ENSMUSG00000047257.13	0	0	0	0	0	0	0	0
ENSMUSG00000047259.3	0	0	0	0	0	0	2	0
ENSMUSG00000047260.4	400	434	401	320	406	506	563	619
ENSMUSG00000047261.9	66	89	66	40	1863	673	1869	2027
ENSMUSG00000047264.8	879	809	884	666	895	773	946	1174
ENSMUSG00000047281.3	412	314	443	318	313	337	416	485
ENSMUSG00000047284.14	2100	2156	2380	1828	1575	1897	1909	2298
ENSMUSG00000047286.7	2	0	0	0	7	0	0	4
ENSMUSG00000047293.7	0	0	0	0	0	0	0	4
ENSMUSG00000047295.16	7	5	10	6	0	9	15	5
ENSMUSG00000047298.3	0	0	0	0	0	2	3	0
ENSMUSG00000047307.2	73	94	88	100	119	163	250	216
ENSMUSG00000047324.5	0	0	0	0	0	0	0	0
ENSMUSG00000047330.8	45	66	28	24	25	31	84	55
ENSMUSG00000047342.17	44	52	45	26	46	56	45	71
ENSMUSG00000047343.4	18	37	34	25	30	36	62	99
ENSMUSG00000047344.9	21	30	21	16	46	54	16	52
ENSMUSG00000047347.7	0	1	0	0	2	2	2	1
ENSMUSG00000047352.6	0	0	0	0	0	0	0	0
ENSMUSG00000047356.2	0	0	0	0	0	0	0	0
ENSMUSG00000047361.16	19	35	28	16	18	35	36	16
ENSMUSG00000047363.4	18	6	25	0	3	2	0	1
ENSMUSG00000047368.4	1243	1226	1186	1029	1756	1548	2159	2188
ENSMUSG00000047369.17	34	48	40	40	16	24	51	81
ENSMUSG00000047370.5	0	1	0	5	2	4	4	6
ENSMUSG00000047371.7	618	599	506	440	613	468	540	714
ENSMUSG00000047379.7	3	2	4	0	0	10	5	9
ENSMUSG00000047383.8	0	0	0	0	0	0	0	0
ENSMUSG00000047384.3	0	0	0	0	0	0	0	0
ENSMUSG00000047388.10	942	877	1035	723	817	680	891	1028
ENSMUSG00000047390.6	0	0	0	0	0	0	0	0
ENSMUSG00000047394.9	91	130	96	70	78	46	64	69
ENSMUSG00000047407.17	568	517	636	337	1061	841	1977	1712
ENSMUSG00000047409.13	2271	2246	2672	2092	746	1094	931	1301
ENSMUSG00000047412.16	1700	2194	2219	1602	992	1202	1286	1701
ENSMUSG00000047414.6	798	742	934	716	489	674	575	789
ENSMUSG00000047415.12	14	22	15	22	14	35	37	53
ENSMUSG00000047417.18	1987	2080	1936	1587	1686	1823	2059	2531
ENSMUSG00000047419.5	61	78	62	45	43	72	112	65
ENSMUSG00000047420.8	8	14	16	1	9	8	10	12
ENSMUSG00000047423.10	759	730	704	605	797	633	722	1013
ENSMUSG00000047428.14	1	4	2	15	0	0	6	15
ENSMUSG00000047434.14	624	693	713	585	648	696	888	985
ENSMUSG00000047441.4	0	0	0	0	0	0	0	0
ENSMUSG00000047443.14	45	72	59	33	47	25	50	42
ENSMUSG00000047444.3	0	0	0	0	0	0	0	0
ENSMUSG00000047446.18	943	1121	1311	1147	345	564	442	560
ENSMUSG00000047454.12	1030	1148	1090	899	849	1141	1092	1317
ENSMUSG00000047459.14	581	538	576	492	774	699	787	1031
ENSMUSG00000047462.9	0	0	2	0	0	0	3	2
ENSMUSG00000047466.10	2048	2169	2137	1833	1426	1657	1866	2088
ENSMUSG00000047473.14	109	136	99	117	56	155	77	121
ENSMUSG00000047485.6	0	0	1	0	0	6	0	0
ENSMUSG00000047492.5	0	0	0	0	0	0	0	2
ENSMUSG00000047495.15	0	0	0	0	0	0	0	0
ENSMUSG00000047496.6	118	111	99	102	63	216	204	245
ENSMUSG00000047497.10	131	124	132	99	1823	677	1849	1697
ENSMUSG00000047501.3	12	11	9	18	15	5	14	15
ENSMUSG00000047502.14	28	33	23	28	0	9	26	28
ENSMUSG00000047507.12	65	81	84	47	32	69	76	116
ENSMUSG00000047508.9	1	1	0	2	0	0	0	4
ENSMUSG00000047509.1	1	1	0	0	0	0	1	1
ENSMUSG00000047511.6	15	27	16	24	109	73	90	124
ENSMUSG00000047514.6	2170	2308	2352	1917	2360	2239	2776	3379
ENSMUSG00000047515.8	6	3	13	4	29	9	11	16
ENSMUSG00000047517.12	3	23	22	0	5	5	0	0
ENSMUSG00000047518.3	15	30	20	14	23	30	33	25
ENSMUSG00000047528.13	14	12	7	16	0	5	8	2
ENSMUSG00000047531.9	0	0	0	0	0	0	0	0
ENSMUSG00000047534.17	15	20	23	5	444	523	695	910
ENSMUSG00000047535.11	0	0	0	0	0	0	0	0
ENSMUSG00000047539.9	1336	1340	1346	1107	1504	1541	1833	2194
ENSMUSG00000047544.7	0	0	0	0	0	0	0	0
ENSMUSG00000047545.5	0	0	0	0	0	0	0	0
ENSMUSG00000047547.14	2522	2513	2373	2123	2287	2821	2738	3292
ENSMUSG00000047554.14	667	694	689	566	718	723	840	845
ENSMUSG00000047557.2	797	753	650	626	1374	1324	1492	1942
ENSMUSG00000047562.3	0	0	0	7	0	6	11	1
ENSMUSG00000047564.4	0	0	0	0	0	0	0	0
ENSMUSG00000047565.5	1	4	2	2	5	0	3	5
ENSMUSG00000047583.9	136	111	126	97	79	87	67	117
ENSMUSG00000047586.4	1	2	4	0	1	0	7	0
ENSMUSG00000047591.5	24	36	56	29	7	33	31	32
ENSMUSG00000047592.17	1	2	4	0	86	22	67	23
ENSMUSG00000047594.4	0	0	0	0	0	0	0	0
ENSMUSG00000047603.9	322	403	357	349	296	307	363	417
ENSMUSG00000047604.3	53	44	58	56	85	95	170	148
ENSMUSG00000047606.4	0	0	0	0	0	0	0	0
ENSMUSG00000047613.10	292	354	249	209	202	277	303	304
ENSMUSG00000047617.11	439	498	418	347	219	295	302	417
ENSMUSG00000047619.5	157	316	344	132	261	188	371	321
ENSMUSG00000047626.4	0	0	0	0	0	0	0	0
ENSMUSG00000047631.4	5	1	7	4	0	2	1	2
ENSMUSG00000047632.11	34	33	62	55	154	128	135	222
ENSMUSG00000047635.6	172	165	160	166	170	238	236	350
ENSMUSG00000047636.3	0	0	3	0	0	0	3	8
ENSMUSG00000047638.15	4	1	5	6	0	0	0	3
ENSMUSG00000047641.8	13	17	23	19	12	4	19	5
ENSMUSG00000047642.15	2	3	1	0	6	0	0	1
ENSMUSG00000047643.5	0	1	1	7	6	10	6	2
ENSMUSG00000047648.13	1208	1401	1391	1153	1318	1399	1761	2008
ENSMUSG00000047649.9	149	159	131	174	99	156	211	174
ENSMUSG00000047652.4	0	0	0	0	0	0	0	0
ENSMUSG00000047654.6	15	13	14	10	29	12	19	15
ENSMUSG00000047655.2	0	0	0	0	0	0	0	0
ENSMUSG00000047656.9	116	78	84	79	101	89	92	82
ENSMUSG00000047657.6	8	4	6	2	5	1	4	3
ENSMUSG00000047658.6	2	4	0	0	1	1	0	5
ENSMUSG00000047661.9	0	0	0	0	0	0	0	0
ENSMUSG00000047667.5	0	0	0	0	0	0	0	0
ENSMUSG00000047669.8	161	183	165	147	92	137	108	170
ENSMUSG00000047671.8	43	58	78	38	20	24	23	38
ENSMUSG00000047674.2	0	0	0	0	0	0	0	0
ENSMUSG00000047675.15	4382	5039	4425	4388	8176	8569	10918	13596
ENSMUSG00000047676.6	10	15	12	26	68	56	77	95
ENSMUSG00000047678.1	33	46	42	31	76	20	60	60
ENSMUSG00000047686.9	1	0	1	0	0	1	0	3
ENSMUSG00000047692.6	0	3	3	7	0	0	3	5
ENSMUSG00000047694.12	2151	2404	2324	1900	1593	1780	1832	2319
ENSMUSG00000047696.16	0	0	0	0	0	0	0	2
ENSMUSG00000047702.2	0	0	0	0	0	0	0	0
ENSMUSG00000047710.8	686	692	752	659	546	581	579	722
ENSMUSG00000047712.8	46	47	58	55	58	37	65	80
ENSMUSG00000047714.14	7519	9746	8924	6894	18088	16426	21808	21677
ENSMUSG00000047716.4	0	0	0	0	0	0	0	0
ENSMUSG00000047719.2	344	366	388	301	337	326	373	545
ENSMUSG00000047720.7	0	0	0	0	0	0	0	0
ENSMUSG00000047721.8	269	239	200	237	495	397	569	600
ENSMUSG00000047728.13	1	2	0	0	0	0	0	0
ENSMUSG00000047730.17	38	47	49	26	7	2	6	30
ENSMUSG00000047731.17	2107	2207	2228	1892	3098	2741	3469	4251
ENSMUSG00000047733.10	18	7	12	12	3	11	7	13
ENSMUSG00000047735.14	3137	3099	3331	2475	2701	3416	3446	4000
ENSMUSG00000047746.14	7	2	13	4	1	2	25	14
ENSMUSG00000047747.10	391	536	402	383	277	236	378	282
ENSMUSG00000047749.2	321	339	450	319	359	364	593	591
ENSMUSG00000047751.9	0	1	0	0	0	0	0	0
ENSMUSG00000047757.17	326	311	375	312	438	449	507	674
ENSMUSG00000047759.6	23	18	28	7	5	12	14	22
ENSMUSG00000047766.15	650	694	723	565	1003	837	1070	1293
ENSMUSG00000047767.17	665	920	744	593	667	812	1073	1324
ENSMUSG00000047773.15	19	29	26	34	27	39	35	38
ENSMUSG00000047777.9	963	886	940	752	965	978	1017	1108
ENSMUSG00000047786.12	51	39	49	63	51	34	32	50
ENSMUSG00000047787.8	63	60	84	74	27	43	32	49
ENSMUSG00000047789.5	838	948	968	779	710	562	800	867
ENSMUSG00000047793.13	1719	1839	1969	1524	505	658	699	820
ENSMUSG00000047794.6	0	0	0	0	0	0	0	0
ENSMUSG00000047797.14	3	8	10	12	30	1	6	10
ENSMUSG00000047798.15	4	9	6	4	38	29	45	21
ENSMUSG00000047799.15	2	2	0	0	0	0	0	0
ENSMUSG00000047804.15	1350	1473	1588	1048	1454	1688	1597	1922
ENSMUSG00000047807.10	48	65	53	53	37	74	91	81
ENSMUSG00000047810.9	34	28	27	19	80	85	127	89
ENSMUSG00000047819.3	1	2	0	3	0	3	5	1
ENSMUSG00000047821.16	6298	6733	6058	4931	5112	7160	6015	6794
ENSMUSG00000047822.8	104	136	118	80	78	48	127	118
ENSMUSG00000047824.13	1326	1408	1271	1226	1528	1427	1678	2334
ENSMUSG00000047828.4	0	0	0	0	0	0	0	0
ENSMUSG00000047832.9	484	521	424	429	708	1033	1094	1351
ENSMUSG00000047841.8	28	31	30	22	14	14	10	19
ENSMUSG00000047842.7	27	32	34	20	24	23	15	19
ENSMUSG00000047843.16	528	606	468	445	369	396	459	596
ENSMUSG00000047844.3	50	32	74	80	63	32	59	83
ENSMUSG00000047854.5	87	94	119	75	38	64	93	104
ENSMUSG00000047861.2	0	0	0	0	0	0	1	0
ENSMUSG00000047866.18	1672	1774	1896	1425	1171	1320	1418	1693
ENSMUSG00000047867.11	6141	6967	6751	4883	8585	7497	9825	11429
ENSMUSG00000047868.6	0	0	0	0	0	0	0	0
ENSMUSG00000047875.6	94	92	96	44	63	88	69	50
ENSMUSG00000047878.13	1219	1039	1578	1325	381	700	301	510
ENSMUSG00000047879.17	1195	1235	1247	978	1663	1931	2384	2604
ENSMUSG00000047880.15	30	32	40	18	27	27	37	15
ENSMUSG00000047881.14	1781	1713	1851	1374	6230	5075	8141	7389
ENSMUSG00000047884.6	11	3	15	3	3	9	5	8
ENSMUSG00000047888.10	7414	7334	7701	5714	5658	5013	6529	7195
ENSMUSG00000047889.9	0	0	0	0	0	0	0	0
ENSMUSG00000047894.2	0	0	0	0	0	0	0	0
ENSMUSG00000047897.10	0	0	0	0	0	0	0	0
ENSMUSG00000047898.7	0	0	0	0	4	2	4	1
ENSMUSG00000047904.6	19	19	17	0	17	8	23	36
ENSMUSG00000047905.10	8	7	7	6	7	19	11	13
ENSMUSG00000047907.11	620	608	491	542	1048	527	733	1039
ENSMUSG00000047909.11	677	820	807	582	716	598	855	1204
ENSMUSG00000047910.6	317	397	406	305	461	491	582	495
ENSMUSG00000047911.6	19	20	15	6	17	13	19	19
ENSMUSG00000047921.17	1740	1953	1928	1697	1820	1871	2091	2577
ENSMUSG00000047935.17	0	0	0	8	8	0	3	5
ENSMUSG00000047938.7	0	0	0	0	0	0	9	0
ENSMUSG00000047940.13	0	1	0	0	4	0	0	0
ENSMUSG00000047945.6	460	437	435	364	3205	2887	4272	4474
ENSMUSG00000047953.7	115	151	155	149	32	73	78	71
ENSMUSG00000047959.4	17	34	44	28	14	17	38	24
ENSMUSG00000047960.4	0	0	0	0	0	0	0	0
ENSMUSG00000047963.7	139	293	166	215	126	154	168	176
ENSMUSG00000047965.9	3	5	3	2	5	3	4	5
ENSMUSG00000047969.5	0	0	0	0	0	0	0	0
ENSMUSG00000047976.4	10	27	55	30	22	36	10	49
ENSMUSG00000047977.3	0	0	0	0	0	0	0	0
ENSMUSG00000047980.6	0	0	0	0	0	0	0	0
ENSMUSG00000047986.12	11	9	5	9	1	3	5	10
ENSMUSG00000047988.1	83	78	105	68	26	72	59	61
ENSMUSG00000047989.11	1008	981	885	854	1454	1497	1507	1925
ENSMUSG00000047990.6	1	0	0	0	3	4	0	0
ENSMUSG00000047992.11	2	5	0	0	0	0	0	0
ENSMUSG00000047995.7	0	0	0	0	0	0	0	0
ENSMUSG00000047996.16	1234	1555	1631	1106	604	741	700	823
ENSMUSG00000048000.15	2180	2450	2552	1948	1991	2417	2613	3096
ENSMUSG00000048001.7	0	0	0	0	2	0	2	1
ENSMUSG00000048003.12	0	3	1	0	0	0	16	7
ENSMUSG00000048004.15	0	8	1	14	0	0	1	1
ENSMUSG00000048007.4	32	14	4	15	37	35	52	67
ENSMUSG00000048012.19	36	23	18	22	44	39	47	53
ENSMUSG00000048013.9	0	0	0	0	0	0	0	1
ENSMUSG00000048015.4	0	0	0	0	0	0	0	0
ENSMUSG00000048022.11	0	0	0	0	0	0	1	0
ENSMUSG00000048027.9	2786	2692	2798	2170	1412	1568	1697	2029
ENSMUSG00000048029.10	27	36	53	38	30	28	24	24
ENSMUSG00000048031.15	0	0	2	0	0	5	2	2
ENSMUSG00000048038.8	154	203	211	147	72	165	100	85
ENSMUSG00000048039.8	1156	1247	1094	921	1001	1269	1229	1465
ENSMUSG00000048040.8	18	51	25	21	24	34	8	7
ENSMUSG00000048047.3	1164	1208	1196	970	1136	1058	1265	1447
ENSMUSG00000048058.17	339	388	306	275	323	441	490	536
ENSMUSG00000048062.4	0	0	0	0	0	0	0	0
ENSMUSG00000048065.8	1	3	7	0	7	0	0	5
ENSMUSG00000048067.8	0	0	0	0	0	0	0	0
ENSMUSG00000048070.4	4	0	0	4	0	0	0	0
ENSMUSG00000048076.14	8023	8243	8045	7259	11231	11762	12895	16063
