ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000000561.14	269	265	293	321	352	420	491	499
ENSMUSG00000000562.5	0	0	2	0	0	0	12	6
ENSMUSG00000000563.17	1120	1282	1108	1003	2105	1877	2529	2855
ENSMUSG00000000567.5	27	17	27	35	53	66	50	41
ENSMUSG00000000568.15	1746	2014	1869	1714	2693	3301	3011	3725
ENSMUSG00000000579.14	49	46	49	54	64	47	60	62
ENSMUSG00000000581.8	364	457	412	402	548	472	686	858
ENSMUSG00000000594.7	779	920	857	759	403	548	499	549
ENSMUSG00000000600.15	1594	2072	2142	1565	1718	1844	2641	2972
ENSMUSG00000000605.9	1888	2034	2212	1768	2253	2244	2712	3306
ENSMUSG00000000606.18	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	0	1	0	5	11	1	6	3
ENSMUSG00000000627.15	98	113	137	120	41	69	72	94
ENSMUSG00000000628.10	205	189	286	207	208	275	342	346
ENSMUSG00000000631.20	8699	9353	8918	7035	8012	9849	10003	11528
ENSMUSG00000000632.13	1	0	0	6	12	9	3	10
ENSMUSG00000000673.9	9	11	17	9	11	9	18	2
ENSMUSG00000000682.7	10	2	16	6	37	35	72	39
ENSMUSG00000000686.11	115	76	126	82	59	74	53	97
ENSMUSG00000000690.5	9	50	16	7	11	16	24	29
ENSMUSG00000000693.10	136	126	133	112	183	180	290	324
ENSMUSG00000000701.8	0	0	0	0	0	0	0	0
ENSMUSG00000000706.16	2	0	0	0	0	0	1	1
ENSMUSG00000000708.14	3748	3734	4091	3018	4156	4275	4852	5888
ENSMUSG00000000711.3	2709	2916	3136	2534	2694	2685	3133	3552
ENSMUSG00000000724.10	43	28	26	34	42	8	26	30
ENSMUSG00000000730.13	1	1	4	0	3	0	3	0
ENSMUSG00000000731.15	0	0	0	0	0	0	0	0
ENSMUSG00000000732.9	246	350	321	244	159	269	169	171
ENSMUSG00000000738.18	953	987	1029	804	1321	1294	1543	2002
ENSMUSG00000000739.14	28	48	49	34	39	21	24	66
ENSMUSG00000000740.12	3879	4391	3501	3560	5948	6467	7888	9782
ENSMUSG00000000743.9	1231	1248	1331	1072	1466	1280	1562	2002
ENSMUSG00000000751.13	1262	1134	1189	1133	2014	2602	2525	3088
ENSMUSG00000000753.15	146	161	129	159	114	132	138	157
ENSMUSG00000000759.14	1676	1773	1857	1473	1662	1895	1946	2467
ENSMUSG00000000766.18	0	0	0	0	0	0	3	0
ENSMUSG00000000776.13	430	447	405	440	419	785	590	594
ENSMUSG00000000782.16	952	927	945	740	637	734	688	970
ENSMUSG00000000787.12	15754	15178	16193	13865	15767	17415	18254	20911
ENSMUSG00000000791.9	4	3	4	4	6	1	9	10
ENSMUSG00000000792.2	14	16	4	10	20	28	40	38
ENSMUSG00000000794.9	845	554	585	433	224	367	327	359
ENSMUSG00000000804.14	2855	3060	3286	2797	2357	2569	2945	3509
ENSMUSG00000000805.18	9225	8802	10658	8126	2775	4256	3207	3800
ENSMUSG00000000811.13	261	246	282	211	148	228	197	250
ENSMUSG00000000817.10	0	0	8	0	4	7	9	5
ENSMUSG00000000823.16	1210	1254	1181	901	1202	1288	1165	1627
ENSMUSG00000000826.16	4295	4200	4279	3614	3953	4103	4795	5533
ENSMUSG00000000827.18	1236	1357	1231	1204	1402	1644	1769	1911
ENSMUSG00000000838.17	1636	1977	2038	1430	1820	2296	2440	2823
ENSMUSG00000000861.15	4	9	10	11	14	13	28	12
ENSMUSG00000000869.12	17	45	23	13	30	17	54	48
ENSMUSG00000000876.11	601	579	701	408	317	453	342	539
ENSMUSG00000000881.12	262	291	298	195	181	228	192	235
ENSMUSG00000000884.17	67	77	71	47	60	51	85	81
ENSMUSG00000000889.8	0	2	0	1	2	0	0	0
ENSMUSG00000000901.17	194	282	248	203	101	110	138	131
ENSMUSG00000000902.13	1286	1314	1151	929	1549	1721	2059	2256
ENSMUSG00000000903.3	8	2	7	20	0	4	2	6
ENSMUSG00000000915.15	2540	2595	2681	2092	1823	2027	2190	2610
ENSMUSG00000000916.15	348	416	326	262	140	245	301	380
ENSMUSG00000000934.9	87	97	99	81	118	116	121	159
ENSMUSG00000000938.11	0	0	0	0	4	0	1	0
ENSMUSG00000000942.10	85	90	70	73	123	137	122	182
ENSMUSG00000000948.16	13	15	17	15	3	4	14	18
ENSMUSG00000000957.11	1374	1274	1273	990	13358	6254	13297	14071
ENSMUSG00000000958.10	318	385	420	308	736	549	969	922
ENSMUSG00000000959.7	1120	961	1083	813	909	900	1050	1194
ENSMUSG00000000976.13	915	941	901	751	725	802	975	1111
